                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1486,                 4.0344,                 1.2681,                0.00333,                      1,                0.10211,                0.06256,                0.86787,                 3.9761,                 1.3543,                0.00014,                0.00014,                0.00014
                      2,                0.77259,                 4.9388,                 0.9042,                0.00333,                      1,                0.25034,                0.19962,                 1.0843,                 3.9169,                 1.2969,             0.00029406,             0.00029406,             0.00029406
                      3,                0.75217,                 3.3407,                0.93303,                0.00333,                      1,                0.25026,                0.08487,                 1.0199,                 3.9257,                 1.2485,             0.00044178,             0.00044178,             0.00044178
                      4,                0.68423,                 3.3193,                0.85178,                0.00333,                      1,                0.23153,                0.15839,                0.87427,                 4.0849,                0.99831,             0.00058317,             0.00058317,             0.00058317
                      5,                0.77787,                 3.2706,                0.88125,                0.00333,                      1,                0.72192,                0.52707,                0.91382,                 3.3134,                0.91513,             0.00071822,             0.00071822,             0.00071822
                      6,                0.78679,                 3.0758,                 0.9019,                0.00333,                      1,                0.72192,                0.52707,                0.91382,                 3.3134,                0.91513,             0.00084694,             0.00084694,             0.00084694
                      7,                0.77043,                 2.8669,                0.86329,                0.00333,                      1,                  0.895,                0.57704,                0.95763,                 3.3159,                 1.0234,             0.00096932,             0.00096932,             0.00096932
                      8,                  1.418,                  3.201,                  1.077,                0.00333,                      1,                  0.895,                0.57704,                0.95763,                 3.3159,                 1.0234,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.1223,                 2.6728,                 1.0421,                0.00333,                      1,                  0.895,                0.57704,                0.95763,                 3.3159,                 1.0234,              0.0011951,              0.0011951,              0.0011951
                     10,                0.97428,                 3.0384,                0.93567,                      1,                0.65725,                  0.945,                 0.5528,                0.99815,                 3.0798,                 1.0978,              0.0012984,              0.0012984,              0.0012984
                     11,                0.95312,                 2.5598,                0.98194,                      1,                0.65725,                  0.945,                 0.5528,                0.99815,                 3.0798,                 1.0978,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.0058,                 2.5203,                0.95746,                      1,                0.65725,                  0.945,                 0.5528,                0.99815,                 3.0798,                 1.0978,              0.0014862,              0.0014862,              0.0014862
                     13,                0.84332,                  4.154,                 0.9007,                      1,                0.65725,                  0.945,                 0.5528,                0.99815,                 3.0798,                 1.0978,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0432,                 2.4882,                0.96798,                0.15928,                      1,                0.18091,                 0.0747,                 1.2554,                 4.3218,                 1.4994,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1433,                 2.5772,                 1.0934,                0.15928,                      1,                0.18091,                 0.0747,                 1.2554,                 4.3218,                 1.4994,              0.0014456,              0.0014456,              0.0014456
                     16,                 0.9712,                 2.2389,                0.97064,                0.15928,                      1,                0.18091,                 0.0747,                 1.2554,                 4.3218,                 1.4994,               0.001406,               0.001406,               0.001406
                     17,                  0.835,                  2.318,                0.91669,                0.15928,                      1,                0.18091,                 0.0747,                 1.2554,                 4.3218,                 1.4994,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0601,                 2.3082,                 1.0049,                0.98839,                   0.75,                0.88786,                 0.5528,                 1.1028,                  2.477,                 1.2093,              0.0013268,              0.0013268,              0.0013268
                     19,                0.97117,                 1.9642,                0.96666,                0.98839,                   0.75,                0.88786,                 0.5528,                 1.1028,                  2.477,                 1.2093,              0.0012872,              0.0012872,              0.0012872
                     20,                0.89891,                 1.8443,                0.98907,                0.98839,                   0.75,                0.88786,                 0.5528,                 1.1028,                  2.477,                 1.2093,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0238,                 1.9309,                 1.0287,                0.98839,                   0.75,                0.88786,                 0.5528,                 1.1028,                  2.477,                 1.2093,               0.001208,               0.001208,               0.001208
                     22,                0.97959,                 2.0128,                 1.0155,                0.95892,                   0.75,                   0.87,                0.64729,                 0.9295,                 2.6888,                  1.221,              0.0011684,              0.0011684,              0.0011684
                     23,                0.81111,                 1.5603,                0.96563,                0.95892,                   0.75,                   0.87,                0.64729,                 0.9295,                 2.6888,                  1.221,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0045,                  1.892,                 1.0064,                0.95892,                   0.75,                   0.87,                0.64729,                 0.9295,                 2.6888,                  1.221,              0.0010892,              0.0010892,              0.0010892
                     25,                0.84767,                 1.8719,                0.96778,                0.95892,                   0.75,                   0.87,                0.64729,                 0.9295,                 2.6888,                  1.221,              0.0010496,              0.0010496,              0.0010496
                     26,                0.83013,                  1.932,                0.95846,                      1,                0.74382,                0.83591,                0.67987,                 0.9508,                 2.8169,                 1.1064,                0.00101,                0.00101,                0.00101
                     27,                0.91628,                 1.8382,                0.96506,                      1,                0.74382,                0.83591,                0.67987,                 0.9508,                 2.8169,                 1.1064,              0.0009704,              0.0009704,              0.0009704
                     28,                0.79661,                 1.5679,                0.93716,                      1,                0.74382,                0.83591,                0.67987,                 0.9508,                 2.8169,                 1.1064,              0.0009308,              0.0009308,              0.0009308
                     29,                0.99638,                 1.8703,                 1.0431,                      1,                0.74382,                0.83591,                0.67987,                 0.9508,                 2.8169,                 1.1064,              0.0008912,              0.0008912,              0.0008912
                     30,                0.69867,                 1.7955,                0.93607,                0.98376,                   0.75,                0.91167,                0.68402,                0.97074,                 2.4309,                 1.1096,              0.0008516,              0.0008516,              0.0008516
                     31,                0.73936,                  1.439,                0.95438,                0.98376,                   0.75,                0.91167,                0.68402,                0.97074,                 2.4309,                 1.1096,               0.000812,               0.000812,               0.000812
                     32,                0.77486,                 1.6826,                 1.0012,                0.98376,                   0.75,                0.91167,                0.68402,                0.97074,                 2.4309,                 1.1096,              0.0007724,              0.0007724,              0.0007724
                     33,                0.79277,                 1.5179,                0.94596,                0.98376,                   0.75,                0.91167,                0.68402,                0.97074,                 2.4309,                 1.1096,              0.0007328,              0.0007328,              0.0007328
                     34,                0.93158,                 1.6584,                 1.0263,                      1,                0.74368,                0.91167,                0.70501,                 0.9471,                 1.9706,                 1.1752,              0.0006932,              0.0006932,              0.0006932
                     35,                0.79703,                 1.3898,                0.90245,                      1,                0.74368,                0.91167,                0.70501,                 0.9471,                 1.9706,                 1.1752,              0.0006536,              0.0006536,              0.0006536
                     36,                0.69242,                 1.3434,                0.91094,                      1,                0.74368,                0.91167,                0.70501,                 0.9471,                 1.9706,                 1.1752,               0.000614,               0.000614,               0.000614
                     37,                0.81038,                 1.6967,                0.99735,                      1,                0.74368,                0.91167,                0.70501,                 0.9471,                 1.9706,                 1.1752,              0.0005744,              0.0005744,              0.0005744
                     38,                0.66404,                  1.355,                0.85845,                      1,                0.74702,                  0.945,                0.73442,                 1.0155,                 1.9491,                  1.158,              0.0005348,              0.0005348,              0.0005348
                     39,                0.67326,                 1.7347,                0.95044,                      1,                0.74702,                  0.945,                0.73442,                 1.0155,                 1.9491,                  1.158,              0.0004952,              0.0004952,              0.0004952
                     40,                0.61848,                 1.3575,                0.94061,                      1,                0.74702,                  0.945,                0.73442,                 1.0155,                 1.9491,                  1.158,              0.0004556,              0.0004556,              0.0004556
                     41,                0.62052,                 1.6923,                0.92467,                      1,                0.74702,                  0.945,                0.73442,                 1.0155,                 1.9491,                  1.158,               0.000416,               0.000416,               0.000416
                     42,                 0.6664,                 1.7805,                0.94854,                      1,                0.95058,                  0.995,                0.75426,                 1.0283,                  2.029,                 1.1534,              0.0003764,              0.0003764,              0.0003764
                     43,                0.65732,                 1.7246,                0.89634,                      1,                0.95058,                  0.995,                0.75426,                 1.0283,                  2.029,                 1.1534,              0.0003368,              0.0003368,              0.0003368
                     44,                0.57905,                 1.6567,                0.86622,                      1,                0.95058,                  0.995,                0.75426,                 1.0283,                  2.029,                 1.1534,              0.0002972,              0.0002972,              0.0002972
                     45,                0.66912,                 1.9025,                0.93795,                      1,                0.95058,                  0.995,                0.75426,                 1.0283,                  2.029,                 1.1534,              0.0002576,              0.0002576,              0.0002576
                     46,                0.72511,                 1.9673,                0.97836,                      1,                0.98137,                  0.995,                0.74926,                  1.032,                 1.9292,                 1.1722,               0.000218,               0.000218,               0.000218
                     47,                0.65536,                 1.7014,                0.88714,                      1,                0.98137,                  0.995,                0.74926,                  1.032,                 1.9292,                 1.1722,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.6705,                 1.8736,                0.91172,                      1,                0.98137,                  0.995,                0.74926,                  1.032,                 1.9292,                 1.1722,              0.0001388,              0.0001388,              0.0001388
                     49,                0.62994,                 1.7068,                0.91435,                      1,                0.98137,                  0.995,                0.74926,                  1.032,                 1.9292,                 1.1722,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.72445,                 1.8346,                0.91363,                0.98303,                      1,                  0.995,                0.73696,                0.99861,                 1.8835,                  1.197,               5.96e-05,               5.96e-05,               5.96e-05
